batter_name,batter_id,AVG_FF,AVG_FS,AVG_CU,AVG_FC,AVG_SI,AVG_SL,OBP_FF,OBP_FS,OBP_CU,OBP_FC,OBP_SI,OBP_SL,SLG_FF,SLG_FS,SLG_CU,SLG_FC,SLG_SI,SLG_SL
Lawrence Butler,671732,0.24120603015075376,0.2857142857142857,0.2608695652173913,0.175,0.3132530120481928,0.24074074074074073,0.3288888888888889,0.3333333333333333,0.34615384615384615,0.21428571428571427,0.3595505617977528,0.3492063492063492,0.4120603015075377,0.32142857142857145,0.34782608695652173,0.4,0.5542168674698795,0.46296296296296297
Michael Harris II,671739,0.24503311258278146,0.1891891891891892,0.35185185185185186,0.4117647058823529,0.211864406779661,0.2087912087912088,0.27044025157232704,0.21052631578947367,0.3508771929824561,0.4117647058823529,0.25196850393700787,0.22340425531914893,0.4503311258278146,0.2702702702702703,0.5925925925925926,0.8235294117647058,0.2457627118644068,0.4065934065934066
Patrick Bailey,672275,0.23703703703703705,0.125,0.16279069767441862,0.36,0.25,0.22,0.3225806451612903,0.16,0.1956521739130435,0.4074074074074074,0.3181818181818182,0.23529411764705882,0.35555555555555557,0.16666666666666666,0.23255813953488372,0.56,0.425,0.26
Gabriel Arias,672356,0.15942028985507245,0.125,0.21739130434782608,0.4,0.26582278481012656,0.21875,0.2236842105263158,0.125,0.21739130434782608,0.46153846153846156,0.3626373626373626,0.23529411764705882,0.32608695652173914,0.125,0.5652173913043478,0.6857142857142857,0.3291139240506329,0.3125
Gabriel Moreno,672515,0.2696629213483146,0.11764705882352941,0.28,0.26666666666666666,0.39655172413793105,0.2222222222222222,0.36893203883495146,0.11764705882352941,0.2857142857142857,0.35294117647058826,0.4696969696969697,0.2553191489361702,0.48314606741573035,0.35294117647058826,0.44,0.5333333333333333,0.41379310344827586,0.37777777777777777
Gustavo Campero,672569,0.3333333333333333,0.125,0.0,0.0,0.0,0.25,0.44,0.125,0.0,0.0,0.42857142857142855,0.3333333333333333,0.7619047619047619,0.125,0.0,0.0,0.0,0.375
Geraldo Perdomo,672695,0.28448275862068967,0.2,0.23529411764705882,0.3,0.35714285714285715,0.3291139240506329,0.3914590747330961,0.22580645161290322,0.3220338983050847,0.4166666666666667,0.46,0.42105263157894735,0.4525862068965517,0.4,0.3333333333333333,0.55,0.5595238095238095,0.4936708860759494
Oswald Peraza,672724,0.13114754098360656,0.2857142857142857,0.125,0.09090909090909091,0.2028985507246377,0.18604651162790697,0.273972602739726,0.375,0.17647058823529413,0.1891891891891892,0.25675675675675674,0.18604651162790697,0.18032786885245902,0.5714285714285714,0.125,0.12121212121212122,0.2753623188405797,0.37209302325581395
Lenyn Sosa,672820,0.23648648648648649,0.21428571428571427,0.2972972972972973,0.3055555555555556,0.3047619047619048,0.23863636363636365,0.27848101265822783,0.26666666666666666,0.3333333333333333,0.325,0.34234234234234234,0.26373626373626374,0.44594594594594594,0.21428571428571427,0.40540540540540543,0.4722222222222222,0.44761904761904764,0.3977272727272727
Ha-Seong Kim,673490,0.18333333333333332,0.2,0.5714285714285714,0.42857142857142855,0.25925925925925924,0.23333333333333334,0.2647058823529412,0.2,0.625,0.5,0.3939393939393939,0.28125,0.3333333333333333,0.2,0.7142857142857143,0.8571428571428571,0.4444444444444444,0.23333333333333334
Seiya Suzuki,673548,0.22602739726027396,0.4166666666666667,0.1951219512195122,0.29411764705882354,0.28448275862068967,0.20689655172413793,0.3235294117647059,0.5333333333333333,0.30612244897959184,0.38461538461538464,0.366412213740458,0.265625,0.4931506849315068,1.0,0.36585365853658536,0.47058823529411764,0.5258620689655172,0.3448275862068966
Josh Jung,673962,0.216,0.29411764705882354,0.3793103448275862,0.22580645161290322,0.29464285714285715,0.25925925925925924,0.3,0.29411764705882354,0.3793103448275862,0.3142857142857143,0.33613445378151263,0.3103448275862069,0.352,0.7058823529411765,0.4482758620689655,0.45161290322580644,0.45535714285714285,0.35802469135802467
Jonny Deluca,676356,0.2857142857142857,0.0,0.0,0.16666666666666666,0.5384615384615384,0.4375,0.3333333333333333,0.0,0.0,0.16666666666666666,0.5714285714285714,0.47058823529411764,0.5714285714285714,0.0,0.0,0.16666666666666666,0.7692307692307693,0.4375
Alec Burleson,676475,0.2909090909090909,0.3793103448275862,0.25,0.24444444444444444,0.28735632183908044,0.3064516129032258,0.34444444444444444,0.4,0.3142857142857143,0.2916666666666667,0.34375,0.38028169014084506,0.5333333333333333,0.4482758620689655,0.40625,0.4,0.40229885057471265,0.5645161290322581
